input,aproveitamento
input_0,0.9812825818338683
input_1,0.9479202462510328
input_2,0.9501283166753186
input_3,0.9694599001250265
input_4,0.9466334237521112
input_5,0.9465164398885729
input_6,0.9770492282720752
input_7,0.945814536707343
input_8,0.9376987811743718
input_9,0.9590848937274715
input_10,0.9368067792148921
input_11,0.9694599001250265
input_12,0.94305079293125
input_13,0.9652631040205891
input_14,0.9906193564425207
input_15,0.9702056722550834
input_16,0.9499089719311843
input_17,0.9200780867289118
input_18,0.9301971909249768
input_19,0.9906193564425207
input_20,0.9668716321442411
input_21,0.9728378091846955
input_22,0.94305079293125
input_23,0.9752067324213466
input_24,0.9238800622939073
input_25,0.9249036710998677
input_26,0.9096665228740011
input_27,0.9702056722550834
input_28,0.9568695118117144
input_29,0.9085259302045025
input_30,0.9361633679654313
input_31,0.9534916027520454
input_32,0.9855305583786037
input_33,0.9694599001250265
input_34,0.9043583800659497
input_35,0.9602035519225567
input_36,0.9770492282720752
input_37,0.9668716321442411
input_38,0.9462970951444385
input_39,0.9770492282720752
input_40,0.8896622822089478
input_41,0.9752067324213466
input_42,0.9057183174795826
input_43,0.9446739440378443
input_44,0.9191422158206053
input_45,0.9568695118117144
input_46,0.9442791234984025
input_47,0.968626390097316
input_48,0.9880383999532064
input_49,0.9627040820056884
input_50,0.9319080799292248
input_51,0.9433578755730382
input_52,0.9301971909249768
input_53,0.956694036016407
input_54,0.9855305583786037
input_55,0.9433578755730382
input_56,0.968626390097316
input_57,0.9580978423788669
input_58,0.9585365318671356
input_59,0.9694599001250265
input_60,0.9418663313129245
input_61,0.9080872407162337
input_62,0.9820795344042231
input_63,0.9294733532693334
input_64,0.968626390097316
input_65,0.9906193564425207
input_66,0.9531845201102573
input_67,0.9138779419613807
input_68,0.9233975038568117
input_69,0.9223007801361399
input_70,0.9223007801361399
input_71,0.9452003714237668
input_72,0.9752067324213466
input_73,0.9803978913658598
input_74,0.9475692946604177
input_75,0.9329463117181274
input_76,0.9735397123659255
input_77,0.9130224974592567
input_78,0.9602035519225567
input_79,0.9795936273040338
input_80,0.9303068632970439
input_81,0.9728378091846955
input_82,0.9261612476329046
input_83,0.9627040820056884
input_84,0.95020143159003
input_85,0.9468673914791879
input_86,0.9212479253642951
input_87,0.9668716321442411
input_88,0.9627040820056884
input_89,0.8843980083497233
input_90,0.9880383999532064
input_91,0.9465164398885729
input_92,0.9261612476329046
input_93,0.9863494454233719
input_94,0.9515467460207208
input_95,0.9363388437607387
input_96,0.9812825818338683
input_97,0.9557947225654562
input_98,0.943401744521865
input_99,0.9433578755730382
